name,position
E. David Burt,Premier of Bermuda
Walter Roban,Deputy Premier
Walter Roban,Minister of Home Affairs
Wayne L. Furbert,Minister for the Cabinet Office
Michael Weeks JP,Minister of National Security
Jason Hayward,Minister of Economy and Labour
Kim Wilson,Minister of Health
Kathy Lightbourne-Simmons,Attorney General
Kathy Lightbourne-Simmons,Minister of Legal Affairs
David Burch,Minister of Public Works
Diallo Rabain,Minister of Education
Vance Campbell,Minister of Tourism
Tinee Furbert,Minister of Social Development and Seniors
Ernest Peets,"Minister of Youth, Culture and Sports"
Lawrence Scott,Minister of Transport
