position,title
Q732859,Governor
Q110092437,Deputy Governor
Q56611785,Premier
Q107980147,Deputy Premier
Q107980075,Minister for the Cabinet Office
Q107980344,Minister of Economic Development and Tourism
Q107980111,Minister of Education
Q107980117,Minister of Finance
Q107980094,Minister of Health
Q107980146,Minister of Home Affairs
Q107980105,Minister of Labour
Q107980098,Minister of Legal Affairs
Q107980087,Minister of National Security
Q107980115,Minister of Public Works
Q107980083,Minister of Social Development and Seniors
Q107980321,Minister of Social Development and Sport
Q107980092,Minister of Transport
Q107980109,"Minister of Youth, Culture and Sports"
Q107980099,Attorney General
Q109516568,Speaker of the House of Assembly
